,sum_sq,df,F,PR(>F),eta_sq
C(Complexity),5.948127639334914,1.0,14.030986341507202,0.00018056468951516139,0.0009749154717684098
C(Valence),319.74243824548887,1.0,754.2376451632932,1.176466805523433e-161,0.05240671837051187
C(Complexity):C(Valence),5.398432044338425,1.0,12.734314203139167,0.00036024210186910434,0.0008848187601946581
Residual,5770.083679683124,13611.0,,,
